1, savanna, minecraft:savanna, CREATURE,alexsmobs:crow,10,1,2
1, savanna, minecraft:savanna, MONSTER,born_in_chaos_v1:seared_spirit,10,1,1
1, savanna, minecraft:savanna, MONSTER,creeperoverhaul:savannah_creeper,20,1,2
1, savanna, minecraft:savanna, MONSTER,dungeons_mobs:windcaller,20,1,2
1, savanna, minecraft:savanna, MONSTER,dungeons_mobs:geomancer,20,1,2
1, savanna, minecraft:savanna, MONSTER,endermanoverhaul:savanna_enderman,20,1,2
1, savanna, minecraft:savanna, MONSTER,minecraft:skeleton,20,2,4
1, savanna, minecraft:savanna, MONSTER,minecraft:spider,20,1,2
1, savanna, minecraft:savanna, MONSTER,minecraft:zombie,20,2,4
1, savanna, minecraft:savanna_plateau, MONSTER,minecraft:zombie_villager,10,1,1
1, savanna, minecraft:savanna_plateau, CREATURE,alexsmobs:crow,10,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,born_in_chaos_v1:seared_spirit,10,1,1
1, savanna, minecraft:savanna_plateau, MONSTER,creeperoverhaul:savannah_creeper,20,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,dungeons_mobs:windcaller,20,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,dungeons_mobs:geomancer,20,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,endermanoverhaul:savanna_enderman,20,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,minecraft:skeleton,20,2,4
1, savanna, minecraft:savanna_plateau, MONSTER,minecraft:spider,20,1,2
1, savanna, minecraft:savanna_plateau, MONSTER,minecraft:zombie,20,2,4
1, savanna, minecraft:savanna_plateau, MONSTER,minecraft:zombie_villager,10,1,1
1, savanna, minecraft:windswept_savanna, MONSTER,minecraft:zombie_villager,10,1,1
1, savanna, minecraft:windswept_savanna, CREATURE,alexsmobs:crow,10,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,born_in_chaos_v1:seared_spirit,10,1,1
1, savanna, minecraft:windswept_savanna, MONSTER,creeperoverhaul:savannah_creeper,20,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,dungeons_mobs:windcaller,20,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,dungeons_mobs:geomancer,20,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,endermanoverhaul:savanna_enderman,20,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,minecraft:skeleton,20,2,4
1, savanna, minecraft:windswept_savanna, MONSTER,minecraft:spider,20,1,2
1, savanna, minecraft:windswept_savanna, MONSTER,minecraft:zombie,20,2,4
1, savanna, minecraft:windswept_savanna, MONSTER,minecraft:zombie_villager,10,1,1
1, none,minecraft:mushroom_fields, MONSTER, creeperoverhaul:mushroom_creeper,20,1,2
1, none,minecraft:mushroom_fields, MONSTER, endermanoverhaul:mushroom_fields_enderman,20,1,2
1, none,minecraft:mushroom_fields, MONSTER, minecraft:skeleton,20,1,2
1, none,minecraft:mushroom_fields, MONSTER, minecraft:spider,20,1,2
1, none,minecraft:mushroom_fields, MONSTER, minecraft:zombie,20,2,4
1, none,minecraft:mushroom_fields, MONSTER, minecraft:zombie_villager,10,1,1
1, none,galosphere:lichen_caves, MONSTER,creeperoverhaul:mushroom_creeper,20,1,2
1, none,galosphere:lichen_caves, MONSTER,endermanoverhaul:mushroom_fields_enderman ,20,1,2
1, none,galosphere:lichen_caves, MONSTER,minecraft:skeleton ,20,1,2
1, none,galosphere:lichen_caves, MONSTER,minecraft:spider ,20,1,2
1, none,galosphere:lichen_caves, MONSTER,minecraft:zombie ,20,1,2
1, none,galosphere:lichen_caves, MONSTER,minecraft:zombie_villager ,20,1,2
1, none,galosphere:lichen_caves, MONSTER,,20,1,2
1, beach,minecraft:beach,CREATURE,alexsmobs:seagull,10,1,2
1, beach,minecraft:beach,MONSTER,born_in_chaos_v1:zombie_fisherman,20,1,2
1, beach,minecraft:beach,MONSTER,creeperoverhaul:beach_creeper,20,1,2
1, beach,minecraft:beach,MONSTER,iter_rpg:scallop,20,1,2
1, beach,minecraft:beach,MONSTER,rottencreatures:dead_beard,10,1,1
1, beach,minecraft:beach,MONSTER,minecraft:enderman,20,1,2
1, beach,minecraft:beach,MONSTER,minecraft:skeleton,20,1,2
1, beach,minecraft:beach,MONSTER,minecraft:spider,20,1,2
1, beach,minecraft:snowy_beach,CREATURE,alexsmobs:seagull,10,1,2
